loss,hyperparameters,iteration,runtime,score
0.5,"{'algorithm': 'auto', 'leaf_size': 56, 'n_jobs': 4, 'n_neighbors': 20, 'p': 1, 'weights': 'uniform'}",37,0.7338191930961884,0.5
0.4920514790673902,"{'algorithm': 'auto', 'leaf_size': 87, 'n_jobs': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",38,0.4801162581829388,0.5079485209326098
0.5,"{'algorithm': 'auto', 'leaf_size': 89, 'n_jobs': 4, 'n_neighbors': 26, 'p': 1, 'weights': 'distance'}",39,0.48111849861055944,0.5
0.4920514790673902,"{'algorithm': 'auto', 'leaf_size': 87, 'n_jobs': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",40,0.4231387405391942,0.5079485209326098
0.5,"{'algorithm': 'auto', 'leaf_size': 87, 'n_jobs': 4, 'n_neighbors': 14, 'p': 1, 'weights': 'distance'}",41,0.3485774287263723,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 87, 'n_jobs': 4, 'n_neighbors': 33, 'p': 1, 'weights': 'uniform'}",42,0.4998495999358319,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 92, 'n_jobs': 4, 'n_neighbors': 85, 'p': 1, 'weights': 'distance'}",43,0.32572045897406454,0.5
0.4920514790673902,"{'algorithm': 'auto', 'leaf_size': 64, 'n_jobs': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",44,0.3590222331828201,0.5079485209326098
0.48981131048753546,"{'algorithm': 'auto', 'leaf_size': 32, 'n_jobs': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",45,0.7222381748216193,0.5101886895124645
0.5,"{'algorithm': 'kd_tree', 'leaf_size': 32, 'n_jobs': 4, 'n_neighbors': 55, 'p': 1, 'weights': 'uniform'}",46,0.7297773780383494,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 28, 'n_jobs': 4, 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",47,0.71162569029363,0.5
0.5,"{'algorithm': 'brute', 'leaf_size': 24, 'n_jobs': 4, 'n_neighbors': 92, 'p': 1, 'weights': 'uniform'}",48,0.9624737973221542,0.5
0.501355427826016,"{'algorithm': 'auto', 'leaf_size': 84, 'n_jobs': 4, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",49,0.7201820672776833,0.49864457217398395
0.5,"{'algorithm': 'kd_tree', 'leaf_size': 64, 'n_jobs': 4, 'n_neighbors': 73, 'p': 1, 'weights': 'uniform'}",50,0.681824717578543,0.5
0.5,"{'algorithm': 'brute', 'leaf_size': 76, 'n_jobs': 4, 'n_neighbors': 70, 'p': 1, 'weights': 'uniform'}",51,0.8542314044720669,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 39, 'n_jobs': 4, 'n_neighbors': 22, 'p': 1, 'weights': 'uniform'}",52,0.6991926183221793,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 31, 'n_jobs': 4, 'n_neighbors': 54, 'p': 1, 'weights': 'uniform'}",53,0.7820846003560931,0.5
0.5,"{'algorithm': 'kd_tree', 'leaf_size': 53, 'n_jobs': 4, 'n_neighbors': 21, 'p': 1, 'weights': 'uniform'}",54,0.6980884045177191,0.5
